Date,Vehicle_ID,Vehicle_Type,Driver_ID,City,State,Fuel_Type,Fuel_Quantity_Liters,Fuel_Price_Per_Liter_INR,Total_Fuel_Cost_INR,Distance_KM,Mileage_KMPL,Maintenance_Cost_INR,Department,Route_Type,Is_Fraud
2025-04-14,VH1023,Truck,DR0523,Bengaluru,Karnataka,Petrol,18.91,96.92,1832.76,126.9,6.71,1370.58,Maintenance,Mixed,0
2025-04-25,VH1024,Car,DR0524,Bengaluru,Karnataka,Diesel,4.54,86.95,394.75,87.2,19.22,1441.24,Logistics,Mixed,0
2024-02-06,VH1025,Mini-Truck,DR0525,Hyderabad,Telangana,CNG,5.86,84.28,493.88,61.9,10.57,1588.52,Operations,Urban,0
2025-07-19,VH1026,Truck,DR0526,Pune,Maharashtra,Petrol,9.92,101.66,1008.47,89.2,8.99,795.53,Sales,Urban,0
2024-04-13,VH1027,Car,DR0527,Mumbai,Maharashtra,Petrol,1.31,101.67,133.19,24.9,19.02,731.09,Sales,Urban,0
2024-02-05,VH1028,Bus,DR0528,Bengaluru,Karnataka,CNG,36.09,82.98,2994.75,238.2,6.6,1525.7,Administration,Highway,0
2025-11-28,VH1029,Van,DR0529,Pune,Maharashtra,Diesel,10.82,90.43,978.45,12.7,1.17,1240.1,Operations,Urban,1
2024-09-20,VH1030,Mini-Truck,DR0530,Pune,Maharashtra,Diesel,5.47,92.7,507.07,50.8,9.29,1308.23,Administration,Urban,0
2025-01-04,VH1031,Mini-Truck,DR0531,Chennai,Tamil Nadu,Diesel,5.38,90.16,485.06,53.5,9.94,1626.22,Maintenance,Urban,0
2024-05-06,VH1032,Bus,DR0532,Pune,Maharashtra,Petrol,33.09,101.66,3363.93,186.6,5.64,1041.08,Administration,Highway,0
2024-09-28,VH1033,Mini-Truck,DR0533,Kolkata,West Bengal,Diesel,24.48,90.17,2207.36,29.2,1.19,968.54,Administration,Urban,1
2024-08-07,VH1034,Car,DR0534,Ahmedabad,Gujarat,Diesel,7.88,85.46,673.42,97.8,12.41,1587.32,Logistics,Urban,0
2024-08-07,VH1034,Car,DR0534,Ahmedabad,Gujarat,Diesel,7.88,85.46,673.42,97.8,12.41,1587.32,Logistics,Urban,0
2025-05-30,VH1036,Bus,DR0536,Mumbai,Maharashtra,CNG,16.31,81.16,1323.72,126.9,7.78,1465.7,Logistics,Urban,0
2025-03-02,VH1037,Van,DR0537,Bengaluru,Karnataka,Petrol,11.46,104.36,1195.97,141.2,12.32,888.65,Administration,Mixed,0
2025-02-21,VH1038,SUV,DR0538,Ahmedabad,Gujarat,Diesel,14.42,87.61,1263.34,158.3,10.98,1863.24,Sales,Highway,0
2025-11-06,VH1039,Van,DR0539,Ahmedabad,Gujarat,Diesel,0.59,86.77,51.19,8.5,14.5,589.71,Administration,Urban,0
2025-11-25,VH1040,Mini-Truck,DR0540,Ahmedabad,Gujarat,Diesel,10.55,92.51,975.98,132.2,12.53,1210.5,Maintenance,Urban,0
2024-08-20,VH1041,Car,DR0541,Bengaluru,Karnataka,Diesel,5.41,93.47,505.67,84.1,15.55,1333.82,Maintenance,Urban,0
2025-04-13,VH1042,SUV,DR0542,Mumbai,Maharashtra,Petrol,4.08,102.28,417.3,52.0,12.75,1195.59,Maintenance,Urban,0
2025-10-19,VH1043,Car,DR0543,Hyderabad,Telangana,CNG,7.08,84.69,599.61,133.6,18.88,1241.37,Operations,Mixed,0
2025-09-25,VH1044,SUV,DR0544,Kolkata,West Bengal,Petrol,19.66,95.61,1879.69,217.8,11.08,469.12,Logistics,Highway,0
2024-05-11,VH1045,Van,DR0545,Kolkata,West Bengal,Petrol,0.95,97.85,92.96,13.6,14.25,1024.23,Logistics,Urban,0
2025-10-14,VH1046,Bus,DR0546,Mumbai,Maharashtra,Petrol,18.14,98.46,1786.06,114.1,6.29,1584.17,Operations,Urban,0
2025-05-19,VH1047,Truck,DR0547,Pune,Maharashtra,Diesel,26.61,88.75,2361.64,186.3,7.0,1428.84,Maintenance,Highway,0
2024-05-28,VH1048,SUV,DR0548,Chennai,Tamil Nadu,CNG,9.1,75.43,686.41,123.3,13.55,1342.59,Administration,Mixed,0
2024-05-22,VH1049,Bus,DR0549,Delhi,Delhi,Petrol,72.16,99.0,7143.84,47.0,0.65,1291.67,Logistics,Highway,1
2024-01-08,VH1050,Mini-Truck,DR0550,Ahmedabad,Gujarat,Diesel,2.18,86.7,189.01,25.9,11.88,920.79,Maintenance,Urban,0
2024-05-24,VH1051,Truck,DR0551,Hyderabad,Telangana,Petrol,17.69,97.08,1717.35,139.4,7.88,1539.83,Operations,Highway,0
2025-03-25,VH1052,SUV,DR0552,Bengaluru,Karnataka,CNG,2.32,75.83,175.93,30.7,13.26,1294.79,Operations,Urban,0
2024-10-08,VH1053,Truck,DR0553,Kolkata,West Bengal,Diesel,11.96,88.81,1062.17,141.0,11.79,1339.36,Logistics,Mixed,0
2025-12-09,VH1054,Truck,DR0554,Bengaluru,Karnataka,Petrol,11.74,105.0,1232.7,140.6,11.98,1356.23,Maintenance,Urban,0
2024-01-01,VH1055,Car,DR0555,Mumbai,Maharashtra,Petrol,12.65,104.49,1321.8,228.5,18.06,637.68,Logistics,Highway,0
2024-11-01,VH1056,Bus,DR0556,Chennai,Tamil Nadu,Diesel,27.55,93.52,2576.48,171.1,6.21,1283.04,Operations,Mixed,0
2025-03-10,VH1057,SUV,DR0557,Ahmedabad,Gujarat,Diesel,11.3,94.03,1062.54,132.2,11.7,1320.18,Sales,Mixed,0
2024-06-14,VH1058,Car,DR0558,Pune,Maharashtra,Petrol,4.21,98.96,416.62,88.8,21.1,258.06,Sales,Urban,0
2025-05-22,VH1059,Van,DR0559,Hyderabad,Telangana,Diesel,13.53,85.66,1158.98,139.1,10.28,1802.96,Logistics,Highway,0
2024-07-01,VH1060,Car,DR0560,Bengaluru,Karnataka,Petrol,5.86,100.43,588.52,93.7,16.0,1480.52,Logistics,Mixed,0
2025-11-02,VH1061,Car,DR0561,Delhi,Delhi,CNG,3.41,76.72,261.62,47.4,13.92,920.49,Operations,Urban,0
2025-06-29,VH1062,SUV,DR0562,Delhi,Delhi,Diesel,17.54,86.29,1513.53,175.0,9.98,1063.2,Sales,Highway,0
2024-01-26,VH1063,Mini-Truck,DR0563,Kolkata,West Bengal,Petrol,10.24,103.55,1060.35,87.1,8.51,1217.82,Administration,Urban,0
2024-03-18,VH1064,Mini-Truck,DR0564,Ahmedabad,Gujarat,Petrol,12.27,99.09,1215.83,153.1,12.48,1355.63,Maintenance,Mixed,0
2024-01-15,VH1065,Van,DR0565,Pune,Maharashtra,Petrol,14.59,95.15,1388.24,210.4,14.42,554.48,Sales,Highway,0
2025-06-08,VH1066,Bus,DR0566,Kolkata,West Bengal,Diesel,11.86,90.94,1078.55,79.7,6.72,1939.97,Logistics,Urban,0
2025-07-07,VH1067,Mini-Truck,DR0567,Pune,Maharashtra,Diesel,16.4,87.84,1440.58,167.0,10.18,2154.71,Logistics,Mixed,0
2025-10-23,VH1068,Mini-Truck,DR0568,Hyderabad,Telangana,Diesel,12.52,87.25,1092.37,127.6,10.19,1179.35,Logistics,Urban,0
2024-02-09,VH1069,Truck,DR0569,Kolkata,West Bengal,Petrol,11.44,101.67,1163.1,137.0,11.98,1653.94,Operations,Mixed,0
2025-03-16,VH1070,Mini-Truck,DR0570,Pune,Maharashtra,CNG,22.27,82.18,1830.15,249.7,11.21,1157.12,Operations,Highway,0
2025-06-15,VH1071,Mini-Truck,DR0571,Mumbai,Maharashtra,Diesel,2.19,87.42,191.45,19.0,8.69,1598.87,Maintenance,Urban,0
2025-11-20,VH1072,Van,DR0572,Bengaluru,Karnataka,Petrol,1.81,99.0,179.19,24.0,13.29,1314.83,Operations,Urban,0
2025-07-03,VH1073,Truck,DR0573,Chennai,Tamil Nadu,Petrol,11.67,98.53,1149.85,86.8,7.44,1244.7,Logistics,Urban,0
2024-08-16,VH1074,Truck,DR0574,Bengaluru,Karnataka,Diesel,15.58,87.02,1355.77,95.8,6.15,989.51,Maintenance,Urban,0
2024-03-29,VH1075,Mini-Truck,DR0575,Mumbai,Maharashtra,Diesel,20.74,91.83,1904.55,222.1,10.71,1347.78,Administration,Highway,0
2025-05-17,VH1076,Truck,DR0576,Delhi,Delhi,Petrol,25.54,99.85,2550.17,139.7,5.47,434.76,Logistics,Mixed,0
2025-09-14,VH1077,Car,DR0577,Bengaluru,Karnataka,Petrol,7.92,100.82,798.49,137.3,17.33,1324.11,Maintenance,Mixed,0
2024-07-14,VH1078,SUV,DR0578,Delhi,Delhi,Petrol,14.81,100.27,1485.0,186.1,12.57,1614.57,Logistics,Highway,0
2024-07-14,VH1078,SUV,DR0578,Delhi,Delhi,Petrol,14.81,100.27,1485.0,186.1,12.57,1614.57,Logistics,Highway,0
2024-03-09,VH1080,Van,DR0580,Bengaluru,Karnataka,Diesel,5.26,93.27,490.6,82.9,15.75,859.87,Operations,Mixed,0
2025-09-07,VH1081,Mini-Truck,DR0581,Mumbai,Maharashtra,Diesel,7.23,90.06,651.13,84.4,11.67,1562.88,Sales,Urban,0
2025-08-26,VH1082,SUV,DR0582,Ahmedabad,Gujarat,Diesel,7.94,88.74,704.6,66.8,8.41,964.86,Sales,Urban,0
2025-07-20,VH1083,Mini-Truck,DR0583,Chennai,Tamil Nadu,Diesel,15.96,87.27,1392.83,185.9,11.65,854.8,Logistics,Mixed,0
2024-08-31,VH1084,SUV,DR0584,Delhi,Delhi,Diesel,5.8,90.37,524.15,78.4,13.52,552.46,Operations,Mixed,0
2024-06-30,VH1085,Car,DR0585,Delhi,Delhi,Petrol,9.55,95.94,916.23,162.2,16.98,1121.39,Operations,Mixed,0
2025-04-13,VH1086,Car,DR0586,Pune,Maharashtra,Diesel,13.38,90.15,1206.21,291.1,21.76,385.35,Maintenance,Highway,0
2024-08-02,VH1087,SUV,DR0587,Pune,Maharashtra,Petrol,4.85,98.69,478.65,62.1,12.8,137.95,Logistics,Urban,0
2025-08-12,VH1088,Mini-Truck,DR0588,Hyderabad,Telangana,Diesel,12.41,92.14,1143.46,138.6,11.17,2598.02,Operations,Highway,0
2025-10-04,VH1089,Van,DR0589,Bengaluru,Karnataka,Petrol,14.74,98.11,1446.14,17.1,1.16,2076.14,Administration,Mixed,1
2025-03-18,VH1090,SUV,DR0590,Pune,Maharashtra,Diesel,14.04,90.06,1264.44,162.5,11.57,259.65,Logistics,Mixed,0
2024-06-30,VH1091,Bus,DR0591,Chennai,Tamil Nadu,Diesel,2.55,87.05,221.98,13.2,5.17,2082.34,Operations,Urban,0
2025-01-20,VH1092,SUV,DR0592,Pune,Maharashtra,Petrol,13.52,97.99,1324.82,111.0,8.21,1707.84,Sales,Mixed,0
2024-12-29,VH1093,Bus,DR0593,Delhi,Delhi,CNG,31.98,76.4,2443.27,238.9,7.47,1184.52,Operations,Highway,0
2024-08-24,VH1094,Bus,DR0594,Delhi,Delhi,Petrol,32.85,98.43,3233.43,160.0,4.87,2126.98,Logistics,Highway,0
2024-05-25,VH1095,SUV,DR0595,Hyderabad,Telangana,Diesel,7.73,90.3,698.02,99.6,12.89,1198.32,Administration,Mixed,0
2024-12-07,VH1096,Bus,DR0596,Kolkata,West Bengal,Diesel,27.66,86.37,2388.99,210.2,7.6,1691.35,Administration,Highway,0
2025-04-20,VH1097,SUV,DR0597,Delhi,Delhi,Petrol,9.01,102.48,923.34,94.9,10.53,1140.8,Administration,Urban,0
2024-10-22,VH1098,Van,DR0598,Hyderabad,Telangana,Diesel,7.09,89.37,633.63,109.9,15.49,1950.49,Administration,Urban,0
2025-07-01,VH1099,Mini-Truck,DR0599,Pune,Maharashtra,Petrol,23.34,99.94,2332.6,209.4,8.97,1316.34,Logistics,Highway,0
2024-03-13,VH1100,Bus,DR0500,Bengaluru,Karnataka,Diesel,23.01,85.75,1973.11,159.0,6.91,1176.37,Sales,Urban,0
2025-04-22,VH1101,Car,DR0501,Pune,Maharashtra,Diesel,13.0,85.05,1105.65,169.4,13.03,902.77,Administration,Mixed,0
2024-01-12,VH1102,Bus,DR0502,Delhi,Delhi,Diesel,21.72,90.42,1963.92,162.7,7.49,1509.33,Logistics,Mixed,0
2024-09-24,VH1103,Mini-Truck,DR0503,Kolkata,West Bengal,CNG,6.98,77.21,538.93,97.2,13.93,1303.84,Sales,Urban,0
2024-05-16,VH1104,Mini-Truck,DR0504,Hyderabad,Telangana,CNG,21.21,76.93,1631.69,184.3,8.69,1020.28,Administration,Mixed,0
2024-09-29,VH1105,Car,DR0505,Chennai,Tamil Nadu,Petrol,6.12,101.15,619.04,95.8,15.65,2570.94,Sales,Mixed,0
2025-06-10,VH1106,Bus,DR0506,Bengaluru,Karnataka,Diesel,29.14,93.04,2711.19,179.2,6.15,1618.03,Maintenance,Mixed,0
2024-06-18,VH1107,Bus,DR0507,Hyderabad,Telangana,CNG,28.12,84.9,2387.39,112.5,4.0,606.83,Sales,Mixed,0
2024-11-13,VH1108,Mini-Truck,DR0508,Bengaluru,Karnataka,Diesel,5.28,89.8,474.14,62.2,11.77,1926.69,Logistics,Urban,0
2024-05-21,VH1109,Truck,DR0509,Hyderabad,Telangana,Petrol,9.73,97.27,946.44,106.7,10.97,2006.98,Operations,Urban,0
2024-12-09,VH1110,Mini-Truck,DR0510,Hyderabad,Telangana,Petrol,3.94,95.37,375.76,54.1,13.74,1600.93,Logistics,Urban,0
2024-06-01,VH1111,Mini-Truck,DR0511,Pune,Maharashtra,Diesel,29.26,92.43,2704.5,245.5,8.39,1034.21,Administration,Highway,0
2024-08-05,VH1112,SUV,DR0512,Bengaluru,Karnataka,Petrol,15.92,94.4,1502.85,218.7,13.74,1454.09,Operations,Highway,0
2025-07-26,VH1113,Truck,DR0513,Pune,Maharashtra,Diesel,24.02,87.6,2104.15,206.8,8.61,1198.49,Maintenance,Highway,0
2024-03-29,VH1114,Mini-Truck,DR0514,Bengaluru,Karnataka,Diesel,9.19,90.93,835.65,105.5,11.48,1006.15,Administration,Mixed,0
2024-03-29,VH1114,Mini-Truck,DR0514,Bengaluru,Karnataka,Diesel,9.19,90.93,835.65,105.5,11.48,1006.15,Administration,Mixed,0
2025-08-15,VH1116,Bus,DR0516,Hyderabad,Telangana,Diesel,15.44,85.62,1321.97,116.3,7.53,1217.95,Administration,Urban,0
2024-10-15,VH1117,Bus,DR0517,Ahmedabad,Gujarat,Diesel,16.31,93.79,1529.71,117.3,7.19,1410.84,Administration,Urban,0
2024-06-18,VH1118,SUV,DR0518,Delhi,Delhi,Diesel,7.2,86.06,619.63,87.8,12.19,1120.66,Logistics,Urban,0
2025-11-02,VH1119,Car,DR0519,Delhi,Delhi,CNG,11.04,78.35,864.98,214.7,19.44,1003.33,Sales,Highway,0
2025-10-28,VH1120,Van,DR0520,Hyderabad,Telangana,Petrol,16.69,104.79,1748.95,230.1,13.79,524.88,Administration,Highway,0
2024-08-11,VH1121,Mini-Truck,DR0521,Bengaluru,Karnataka,Petrol,9.88,103.24,1020.01,102.3,10.35,848.05,Sales,Urban,0
2025-06-07,VH1122,Van,DR0522,Chennai,Tamil Nadu,Petrol,18.94,94.74,1794.38,25.6,1.35,438.41,Operations,Urban,1
2025-01-15,VH1123,SUV,DR0523,Kolkata,West Bengal,Diesel,13.35,88.84,1186.01,112.0,8.39,1763.38,Operations,Mixed,0
2024-10-11,VH1124,Bus,DR0524,Bengaluru,Karnataka,Petrol,46.17,104.39,4819.69,203.6,4.41,1782.96,Sales,Highway,0
2025-04-03,VH1125,Van,DR0525,Bengaluru,Karnataka,Diesel,12.16,87.73,1066.8,191.1,15.71,626.52,Maintenance,Highway,0
2025-03-28,VH1126,SUV,DR0526,Ahmedabad,Gujarat,Diesel,6.73,94.84,638.27,70.4,10.46,1376.03,Operations,Urban,0
2024-09-27,VH1127,Truck,DR0527,Ahmedabad,Gujarat,Diesel,20.82,89.72,1867.97,183.2,8.8,959.11,Maintenance,Highway,0
2024-09-27,VH1127,Truck,DR0527,Ahmedabad,Gujarat,Diesel,20.82,89.72,1867.97,183.2,8.8,959.11,Maintenance,Highway,0
2025-11-08,VH1129,Mini-Truck,DR0529,Delhi,Delhi,Diesel,3.0,87.26,261.78,26.9,8.96,1777.29,Maintenance,Urban,0
2024-09-30,VH1130,Car,DR0530,Ahmedabad,Gujarat,CNG,8.06,81.8,659.31,128.6,15.96,1571.04,Logistics,Urban,0
2025-08-10,VH1131,Car,DR0531,Delhi,Delhi,Diesel,13.12,94.87,1244.69,176.1,13.42,1188.7,Logistics,Urban,0
2025-08-11,VH1132,Bus,DR0532,Mumbai,Maharashtra,Petrol,15.71,94.86,1490.25,87.8,5.59,668.68,Sales,Urban,0
2024-11-12,VH1133,Bus,DR0533,Mumbai,Maharashtra,Petrol,36.92,101.77,3757.35,152.5,4.13,1378.96,Maintenance,Urban,0
2024-01-07,VH1134,Van,DR0534,Mumbai,Maharashtra,Diesel,13.82,91.61,1266.05,184.1,13.32,1432.07,Operations,Mixed,0
2024-01-12,VH1135,Truck,DR0535,Pune,Maharashtra,Petrol,30.59,96.72,2958.66,187.2,6.12,1412.08,Operations,Highway,0
2024-10-14,VH1136,SUV,DR0536,Chennai,Tamil Nadu,Petrol,8.18,99.48,813.75,92.7,11.33,1576.66,Administration,Mixed,0
2024-02-04,VH1137,Car,DR0537,Delhi,Delhi,Diesel,9.23,87.21,804.95,149.3,16.18,990.05,Sales,Mixed,0
2025-05-30,VH1138,Bus,DR0538,Hyderabad,Telangana,Diesel,28.88,92.35,2667.07,204.2,7.07,1373.7,Maintenance,Urban,0
2024-11-30,VH1139,Van,DR0539,Delhi,Delhi,Petrol,18.04,103.91,1874.54,226.1,12.53,411.8,Sales,Highway,0
2025-06-03,VH1140,Car,DR0540,Chennai,Tamil Nadu,Diesel,4.14,89.05,368.67,74.6,18.02,1922.16,Administration,Mixed,0
2025-05-16,VH1141,SUV,DR0541,Hyderabad,Telangana,Petrol,10.37,103.58,1074.12,110.6,10.67,1317.6,Logistics,Highway,0
2024-06-11,VH1142,Truck,DR0542,Kolkata,West Bengal,Diesel,24.9,91.57,2280.09,181.3,7.28,1373.25,Logistics,Highway,0
2024-12-26,VH1143,Car,DR0543,Pune,Maharashtra,CNG,9.66,79.31,766.13,140.0,14.49,1625.11,Sales,Urban,0
2024-07-22,VH1144,Van,DR0544,Chennai,Tamil Nadu,Petrol,9.59,99.22,951.52,144.5,15.07,1849.37,Administration,Mixed,0
2025-10-03,VH1145,Car,DR0545,Chennai,Tamil Nadu,Petrol,14.4,95.35,1373.04,206.0,14.31,961.16,Sales,Highway,0
2025-11-21,VH1146,SUV,DR0546,Hyderabad,Telangana,Petrol,13.13,94.46,1240.26,116.7,8.89,1373.24,Logistics,Urban,0
2024-05-30,VH1147,Car,DR0547,Pune,Maharashtra,Diesel,10.78,85.3,919.53,162.5,15.08,1522.13,Maintenance,Highway,0
2025-05-31,VH1148,SUV,DR0548,Mumbai,Maharashtra,Petrol,20.56,104.6,2150.58,195.9,9.53,1186.6,Administration,Highway,0
2024-01-01,VH1149,Truck,DR0549,Mumbai,Maharashtra,Petrol,27.61,96.37,2660.78,265.3,9.61,626.83,Logistics,Highway,0
2025-11-11,VH1150,Bus,DR0550,Chennai,Tamil Nadu,CNG,9.91,84.93,841.66,69.5,7.01,946.16,Logistics,Urban,0
2024-01-19,VH1151,SUV,DR0551,Mumbai,Maharashtra,Diesel,14.96,93.08,1392.48,188.1,12.57,1887.85,Maintenance,Highway,0
2025-10-16,VH1152,Mini-Truck,DR0552,Ahmedabad,Gujarat,Diesel,0.07,91.3,6.39,0.8,11.66,1735.7,Logistics,Urban,0
2024-09-23,VH1153,Truck,DR0553,Delhi,Delhi,Diesel,17.82,91.03,1622.15,172.5,9.68,2326.22,Operations,Highway,0
2024-06-02,VH1154,Bus,DR0554,Mumbai,Maharashtra,Diesel,3.22,86.09,277.21,14.8,4.6,1285.49,Administration,Urban,0
2025-03-02,VH1155,Mini-Truck,DR0555,Bengaluru,Karnataka,Diesel,13.08,85.18,1114.15,119.9,9.17,1396.04,Maintenance,Mixed,0
2024-11-29,VH1156,Van,DR0556,Pune,Maharashtra,CNG,13.91,79.86,1110.85,160.5,11.54,648.21,Operations,Highway,0
2025-08-11,VH1157,Bus,DR0557,Bengaluru,Karnataka,Diesel,49.44,89.14,4407.08,222.0,4.49,715.83,Sales,Highway,0
2025-01-19,VH1158,Truck,DR0558,Hyderabad,Telangana,Diesel,24.15,88.74,2143.07,209.9,8.69,2325.23,Sales,Highway,0
2025-09-28,VH1159,Truck,DR0559,Mumbai,Maharashtra,Diesel,1.47,94.06,138.27,15.3,10.39,1387.54,Sales,Urban,0
2024-05-25,VH1160,Car,DR0560,Ahmedabad,Gujarat,CNG,2.54,82.67,209.98,34.3,13.5,1074.84,Sales,Urban,0
2025-10-23,VH1161,Bus,DR0561,Chennai,Tamil Nadu,Diesel,18.05,85.24,1538.58,118.6,6.57,2305.26,Administration,Urban,0
2024-11-15,VH1162,SUV,DR0562,Kolkata,West Bengal,Diesel,11.72,86.36,1012.14,142.6,12.17,243.45,Logistics,Highway,0
2025-06-14,VH1163,Car,DR0563,Delhi,Delhi,CNG,13.45,81.03,1089.85,206.8,15.37,1325.79,Maintenance,Highway,0
2024-03-10,VH1164,Truck,DR0564,Hyderabad,Telangana,Diesel,9.03,88.55,799.61,49.6,5.49,1216.73,Logistics,Urban,0
2025-01-15,VH1165,SUV,DR0565,Bengaluru,Karnataka,Petrol,13.6,99.03,1346.81,124.3,9.14,935.67,Sales,Mixed,0
2025-03-17,VH1166,Bus,DR0566,Bengaluru,Karnataka,Diesel,34.13,94.58,3228.02,160.4,4.7,1514.71,Maintenance,Highway,0
2025-02-03,VH1167,Mini-Truck,DR0567,Kolkata,West Bengal,Diesel,2.84,91.65,260.29,36.3,12.77,1041.8,Maintenance,Urban,0
2025-02-09,VH1168,Van,DR0568,Ahmedabad,Gujarat,Petrol,14.13,94.98,1342.07,205.3,14.53,1123.77,Administration,Highway,0
2024-04-23,VH1169,SUV,DR0569,Mumbai,Maharashtra,Petrol,7.89,97.76,771.33,81.2,10.29,840.66,Logistics,Mixed,0
2024-11-06,VH1170,Van,DR0570,Bengaluru,Karnataka,Petrol,18.18,95.78,1741.28,267.6,14.72,2146.52,Sales,Highway,0
2024-06-06,VH1171,Truck,DR0571,Chennai,Tamil Nadu,Petrol,9.27,103.66,960.93,102.7,11.08,1499.8,Sales,Urban,0
2025-04-10,VH1172,SUV,DR0572,Delhi,Delhi,Petrol,17.91,104.53,1872.13,204.9,11.44,1554.73,Operations,Highway,0
2024-12-01,VH1173,Van,DR0573,Delhi,Delhi,Diesel,8.96,92.65,830.14,99.0,11.05,1231.98,Logistics,Highway,0
2024-03-19,VH1174,Bus,DR0574,Hyderabad,Telangana,Petrol,12.45,104.59,1302.15,77.2,6.2,1443.25,Sales,Urban,0
2025-01-24,VH1175,Van,DR0575,Kolkata,West Bengal,Diesel,6.3,85.0,535.5,63.7,10.11,1828.22,Maintenance,Mixed,0
2025-01-16,VH1176,Car,DR0576,Hyderabad,Telangana,Petrol,14.11,104.94,1480.7,177.5,12.58,994.53,Logistics,Highway,0
2024-09-16,VH1177,Mini-Truck,DR0577,Kolkata,West Bengal,Petrol,5.41,100.97,546.25,50.7,9.37,849.16,Maintenance,Urban,0
2025-04-29,VH1178,Van,DR0578,Chennai,Tamil Nadu,Diesel,8.64,93.87,811.04,109.7,12.7,614.48,Sales,Mixed,0
2024-07-01,VH1179,SUV,DR0579,Kolkata,West Bengal,Diesel,16.36,89.16,1458.66,178.2,10.89,1395.9,Administration,Highway,0
2024-07-31,VH1180,SUV,DR0580,Delhi,Delhi,Petrol,8.95,96.19,860.9,75.1,8.39,982.42,Sales,Urban,0
2025-05-24,VH1181,SUV,DR0581,Bengaluru,Karnataka,Diesel,19.41,86.5,1678.96,193.1,9.95,2055.85,Administration,Highway,0
2025-01-31,VH1182,SUV,DR0582,Chennai,Tamil Nadu,Diesel,25.39,86.33,2191.92,218.6,8.61,1283.33,Administration,Highway,0
2024-08-19,VH1183,SUV,DR0583,Ahmedabad,Gujarat,Petrol,19.43,99.08,1925.12,229.7,11.82,1349.65,Sales,Highway,0
